x,y,z,value
0.0,0.0,0.0,3.590450551404643
0.0,0.0,1.0,3.5673332061046947
0.0,0.0,2.0,3.5424438981509723
0.0,0.0,3.0,3.515812617999887
0.0,0.0,4.0,3.487490872144666
0.0,0.0,5.0,3.4575514707511585
0.0,0.0,6.0,3.4260874913928268
0.0,0.0,7.0,3.393210450940678
0.0,0.0,8.0,3.3590477469198463
0.0,0.0,9.0,3.323739456963252
0.0,0.0,10.0,3.2874346094730846
0.0,0.0,11.0,3.2502870594281443
0.0,0.0,12.0,3.2124511197485774
0.0,0.0,13.0,3.1740771101820506
0.0,0.0,14.0,3.135306991892972
0.0,0.0,15.0,3.096270256569351
0.0,0.0,16.0,3.057080233835135
0.0,0.0,17.0,3.0178309701695194
0.0,0.0,18.0,2.9785948166637
0.0,0.0,19.0,2.939420842230272
0.0,0.0,20.0,2.900334163915466
0.0,0.0,21.0,2.861336257479877
0.0,0.0,22.0,2.822406280254774
0.0,0.0,23.0,2.783503405383251
0.0,0.0,24.0,2.7445701329157717
0.0,0.0,25.0,2.7055365098776196
0.0,0.0,26.0,2.66632515939285
0.0,0.0,27.0,2.62685698923799
0.0,0.0,28.0,2.587057423752077
0.0,0.0,29.0,2.5468629807034286
0.0,0.0,30.0,2.5062279972496655
0.0,0.0,31.0,2.46513129713181
0.0,0.0,32.0,2.4235825851662782
0.0,0.0,33.0,2.381628355221603
0.0,0.0,34.0,2.339357104292038
0.0,0.0,35.0,2.2969036579272903
0.0,0.0,36.0,2.2544524308839677
0.0,0.0,37.0,2.212239470991936
0.0,0.0,38.0,2.170553163275767
0.0,0.0,39.0,2.1297335045883248
0.0,0.0,40.0,2.0901698955240438
0.0,0.0,41.0,2.0522974352044447
0.0,0.0,42.0,2.0165917446144057
0.0,0.0,43.0,1.983562384414936
0.0,0.0,44.0,1.9537449724534732
0.0,0.0,45.0,1.9276921434394714
0.0,0.0,46.0,1.9059635274036255
0.0,0.0,47.0,1.8891149536434941
0.0,0.0,48.0,1.877687112013339
0.0,0.0,49.0,1.8721939229079116
0.0,1.0,0.0,3.6496492240757705
0.0,1.0,1.0,3.6205192021310895
0.0,1.0,2.0,3.589592408065399
0.0,1.0,3.0,3.556971613808209
0.0,1.0,4.0,3.522784901000551
0.0,1.0,5.0,3.4871841086659012
0.0,1.0,6.0,3.4503423611167605
0.0,1.0,7.0,3.4124507385510103
0.0,1.0,8.0,3.3737141837083406
0.0,1.0,9.0,3.334346766190771
0.0,1.0,10.0,3.2945664506846133
0.0,1.0,11.0,3.254589535542767
0.0,1.0,12.0,3.2146249433156244
0.0,1.0,13.0,3.174868554327201
0.0,1.0,14.0,3.13549777792078
0.0,1.0,15.0,3.0966665533649436
0.0,1.0,16.0,3.05850096362265
0.0,1.0,17.0,3.021095630435781
0.0,1.0,18.0,2.984511038840202
0.0,1.0,19.0,2.948771913848342
0.0,1.0,20.0,2.9138667423205282
0.0,1.0,21.0,2.879748499831872
0.0,1.0,22.0,2.846336606579943
0.0,1.0,23.0,2.8135200991058897
0.0,1.0,24.0,2.7811619669090653
0.0,1.0,25.0,2.7491045660367437
0.0,1.0,26.0,2.717175986530372
0.0,1.0,27.0,2.685197218271232
0.0,1.0,28.0,2.652989931280629
0.0,1.0,29.0,2.6203846627806584
0.0,1.0,30.0,2.587229185069932
0.0,1.0,31.0,2.553396816122196
0.0,1.0,32.0,2.518794429212423
0.0,1.0,33.0,2.483369919069629
0.0,1.0,34.0,2.4471188901113194
0.0,1.0,35.0,2.4100903471000756
0.0,1.0,36.0,2.3723911897551733
0.0,1.0,37.0,2.3341893399448006
0.0,1.0,38.0,2.2957153624007525
0.0,1.0,39.0,2.2572624766091645
0.0,1.0,40.0,2.2191848976802224
0.0,1.0,41.0,2.181894486527078
0.0,1.0,42.0,2.145855733455958
0.0,1.0,43.0,2.1115791431103608
0.0,1.0,44.0,2.07961313143852
0.0,1.0,45.0,2.0505345858041184
0.0,1.0,46.0,2.0249382764320485
0.0,1.0,47.0,2.003425340056287
0.0,1.0,48.0,1.986591084014578
0.0,1.0,49.0,1.9750123803528492
0.0,2.0,0.0,3.701146479234916
0.0,2.0,1.0,3.6647036668039212
0.0,2.0,2.0,3.6264671434992626
0.0,2.0,3.0,3.586628890156704
0.0,2.0,4.0,3.5454093971420466
0.0,2.0,5.0,3.5030545352297477
0.0,2.0,6.0,3.459831430430253
0.0,2.0,7.0,3.4160234393092894
0.0,2.0,8.0,3.3719243533529073
0.0,2.0,9.0,3.3278319894591237
0.0,2.0,10.0,3.2840413477622974
0.0,2.0,11.0,3.240837536926213
0.0,2.0,12.0,3.1984886801327415
0.0,2.0,13.0,3.1572390217701862
0.0,2.0,14.0,3.1173024549988257
0.0,2.0,15.0,3.078856683844235
0.0,2.0,16.0,3.042038220342895
0.0,2.0,17.0,3.006938397836446
0.0,2.0,18.0,2.973600556266173
0.0,2.0,19.0,2.9420185249184843
0.0,2.0,20.0,2.9121364933330907
0.0,2.0,21.0,2.8838503229601473
0.0,2.0,22.0,2.8570103117004897
0.0,2.0,23.0,2.831425381821035
0.0,2.0,24.0,2.8068686200878594
0.0,2.0,25.0,2.7830840584960934
0.0,2.0,26.0,2.759794545869652
0.0,2.0,27.0,2.7367105259698374
0.0,2.0,28.0,2.71353950761654
0.0,2.0,29.0,2.6899959875972295
0.0,2.0,30.0,2.6658115685815087
0.0,2.0,31.0,2.6407450024692136
0.0,2.0,32.0,2.6145918849907512
0.0,2.0,33.0,2.5871937301645884
0.0,2.0,34.0,2.558446163410036
0.0,2.0,35.0,2.5283059895195548
0.0,2.0,36.0,2.4967969159191306
0.0,2.0,37.0,2.464013742102381
0.0,2.0,38.0,2.4301248620541585
0.0,2.0,39.0,2.395372966967459
0.0,2.0,40.0,2.360073879559952
0.0,2.0,41.0,2.3246134976677366
0.0,2.0,42.0,2.2894428723197287
0.0,2.0,43.0,2.2550714929248934
0.0,2.0,44.0,2.222058898283396
0.0,2.0,45.0,2.191004775640537
0.0,2.0,46.0,2.1625377497840805
0.0,2.0,47.0,2.1373030991830544
0.0,2.0,48.0,2.1159496654479204
0.0,2.0,49.0,2.099116245177427
0.0,3.0,0.0,3.741322012721529
0.0,3.0,1.0,3.6964433755671497
0.0,3.0,2.0,3.6498092817463346
0.0,3.0,3.0,3.6017157313028734
0.0,3.0,4.0,3.552489672144007
0.0,3.0,5.0,3.502484088005153
0.0,3.0,6.0,3.452072037262214
0.0,3.0,7.0,3.4016397762126025
0.0,3.0,8.0,3.351579132914743
0.0,3.0,9.0,3.3022793258219845
0.0,3.0,10.0,3.2541184443669615
0.0,3.0,11.0,3.207454825588134
0.0,3.0,12.0,3.1626185712505874
0.0,3.0,13.0,3.1199034532936416
0.0,3.0,14.0,3.0795594516327958
0.0,3.0,15.0,3.041786157353794
0.0,3.0,16.0,3.0067272563707648
0.0,3.0,17.0,2.974466284089882
0.0,3.0,18.0,2.9450238111293494
0.0,3.0,19.0,2.918356184476426
0.0,3.0,20.0,2.8943559085492745
0.0,3.0,21.0,2.8728537075417893
0.0,3.0,22.0,2.8536222653299683
0.0,3.0,23.0,2.8363815933434573
0.0,3.0,24.0,2.8208059314237786
0.0,3.0,25.0,2.806532043067479
0.0,3.0,26.0,2.7931687258166575
0.0,3.0,27.0,2.7803073210670233
0.0,3.0,28.0,2.767532976266171
0.0,3.0,29.0,2.7544363872882074
0.0,3.0,30.0,2.7406257304506956
0.0,3.0,31.0,2.7257384827582514
0.0,3.0,32.0,2.7094528258873103
0.0,3.0,33.0,2.6914983343307477
0.0,3.0,34.0,2.67166566094605
0.0,3.0,35.0,2.6498149536276467
0.0,3.0,36.0,2.625882764476246
0.0,3.0,37.0,2.5998872469922882
0.0,3.0,38.0,2.571931476625978
0.0,3.0,39.0,2.5422047744667666
0.0,3.0,40.0,2.5109819618160483
0.0,3.0,41.0,2.4786205236268586
0.0,3.0,42.0,2.4455557100176284
0.0,3.0,43.0,2.4122936559488726
0.0,3.0,44.0,2.3794026483744717
0.0,3.0,45.0,2.347502716467111
0.0,3.0,46.0,2.3172537626722898
0.0,3.0,47.0,2.2893424892770833
0.0,3.0,48.0,2.2644684059370905
0.0,3.0,49.0,2.2433292273992875
0.0,4.0,0.0,3.767368291950631
0.0,4.0,1.0,3.713145361652159
0.0,4.0,2.0,3.657244713021933
0.0,4.0,3.0,3.6000789401478817
0.0,4.0,4.0,3.5420931304805356
0.0,4.0,5.0,3.4837580021892136
0.0,4.0,6.0,3.4255619652983285
0.0,4.0,7.0,3.3680022794816376
0.0,4.0,8.0,3.311575513631101
0.0,4.0,9.0,3.256767539373543
0.0,4.0,10.0,3.2040433117116267
0.0,4.0,11.0,3.153836704208822
0.0,4.0,12.0,3.106540673099607
0.0,4.0,13.0,3.062498024066754
0.0,4.0,14.0,3.021993047080387
0.0,4.0,15.0,2.985244268749173
0.0,4.0,16.0,2.952398548418686
0.0,4.0,17.0,2.92352671430054
0.0,4.0,18.0,2.898620899957267
0.0,4.0,19.0,2.877593700407308
0.0,4.0,20.0,2.860279222007881
0.0,4.0,21.0,2.846436052300456
0.0,4.0,22.0,2.8357521264339747
0.0,4.0,23.0,2.8278514169412547
0.0,4.0,24.0,2.8223023248799985
0.0,4.0,25.0,2.8186276039899747
0.0,4.0,26.0,2.816315606836518
0.0,4.0,27.0,2.814832604091847
0.0,4.0,28.0,2.813635896211964
0.0,4.0,29.0,2.8121874117073693
0.0,4.0,30.0,2.8099674687124097
0.0,4.0,31.0,2.8064883671634733
0.0,4.0,32.0,2.801307477919942
0.0,4.0,33.0,2.7940395026995035
0.0,4.0,34.0,2.7843675946205595
0.0,4.0,35.0,2.772053053094772
0.0,4.0,36.0,2.756943338223617
0.0,4.0,37.0,2.7389781879557202
0.0,4.0,38.0,2.7181936651093914
0.0,4.0,39.0,2.694724009855777
0.0,4.0,40.0,2.668801225166665
0.0,4.0,41.0,2.640752376740033
0.0,4.0,42.0,2.6109946436522677
0.0,4.0,43.0,2.580028210055673
0.0,4.0,44.0,2.5484271402679006
0.0,4.0,45.0,2.5168284282653017
0.0,4.0,46.0,2.4859194566630802
0.0,4.0,47.0,2.4564241386316765
0.0,4.0,48.0,2.429088047902082
0.0,4.0,49.0,2.4046628662695024
0.0,5.0,0.0,3.7776159983535775
0.0,5.0,1.0,3.7133831886649924
0.0,5.0,2.0,3.64759053624087
0.0,5.0,3.0,3.5807770314670178
0.0,5.0,4.0,3.513514723243363
0.0,5.0,5.0,3.4463997829307873
0.0,5.0,6.0,3.3800424930186845
0.0,5.0,7.0,3.3150563739341368
0.0,5.0,8.0,3.2520466937018284
0.0,5.0,9.0,3.1915986304088046
0.0,5.0,10.0,3.1342653758091585
0.0,5.0,11.0,3.080556479281644
0.0,5.0,12.0,3.030926734292304
0.0,5.0,13.0,2.9857659042945963
0.0,5.0,14.0,2.945389571625955
0.0,5.0,15.0,2.910031371663493
0.0,5.0,16.0,2.879836845735162
0.0,5.0,17.0,2.8548591107100822
0.0,5.0,18.0,2.8350565016706244
0.0,5.0,19.0,2.8202922976291696
0.0,5.0,20.0,2.810336590068679
0.0,5.0,21.0,2.8048703014466474
0.0,5.0,22.0,2.8034913070735383
0.0,5.0,23.0,2.8057225603685985
0.0,5.0,24.0,2.8110220698209174
0.0,5.0,25.0,2.818794527419974
0.0,5.0,26.0,2.828404344173718
